Claim,Claim._userSerializationData,Claim._issuer,Claim._originalIssuer,Claim._properties,Claim._subject,Claim._type,Claim._value,Claim._valueType,Claim.CustomSerializationData,Claim.Issuer,Claim.OriginalIssuer,Claim.Properties,Claim.Subject,Claim.Type,Claim.Value,Claim.ValueType
"iss: https://localhost:44362/","",https://localhost:44362/,https://localhost:44362/,"","",iss,https://localhost:44362/,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",iss,https://localhost:44362/,http://www.w3.org/2001/XMLSchema#string
"exp: 1730777200","",https://localhost:44362/,https://localhost:44362/,"","",exp,1730777200,http://www.w3.org/2001/XMLSchema#integer64,"",https://localhost:44362/,https://localhost:44362/,[],"",exp,1730777200,http://www.w3.org/2001/XMLSchema#integer64
"iat: 1730773600","",https://localhost:44362/,https://localhost:44362/,"","",iat,1730773600,http://www.w3.org/2001/XMLSchema#integer64,"",https://localhost:44362/,https://localhost:44362/,[],"",iat,1730773600,http://www.w3.org/2001/XMLSchema#integer64
"aud: ProductManagement","",https://localhost:44362/,https://localhost:44362/,"","",aud,ProductManagement,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",aud,ProductManagement,http://www.w3.org/2001/XMLSchema#string
"scope: ProductManagement","",https://localhost:44362/,https://localhost:44362/,"","",scope,ProductManagement,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",scope,ProductManagement,http://www.w3.org/2001/XMLSchema#string
"jti: 0d30129c-e230-4190-a7c0-76de852c31fb","",https://localhost:44362/,https://localhost:44362/,"","",jti,0d30129c-e230-4190-a7c0-76de852c31fb,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",jti,0d30129c-e230-4190-a7c0-76de852c31fb,http://www.w3.org/2001/XMLSchema#string
"sub: 3a156f50-ba53-1a0f-1cf1-f9fc3353d8aa","",https://localhost:44362/,https://localhost:44362/,"","",sub,3a156f50-ba53-1a0f-1cf1-f9fc3353d8aa,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",sub,3a156f50-ba53-1a0f-1cf1-f9fc3353d8aa,http://www.w3.org/2001/XMLSchema#string
"preferred_username: admin","",https://localhost:44362/,https://localhost:44362/,"","",preferred_username,admin,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",preferred_username,admin,http://www.w3.org/2001/XMLSchema#string
"email: admin@abp.io","",https://localhost:44362/,https://localhost:44362/,"","",email,admin@abp.io,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",email,admin@abp.io,http://www.w3.org/2001/XMLSchema#string
"role: admin","",https://localhost:44362/,https://localhost:44362/,"","",role,admin,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",role,admin,http://www.w3.org/2001/XMLSchema#string
"given_name: admin","",https://localhost:44362/,https://localhost:44362/,"","",given_name,admin,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",given_name,admin,http://www.w3.org/2001/XMLSchema#string
"phone_number_verified: False","",https://localhost:44362/,https://localhost:44362/,"","",phone_number_verified,False,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",phone_number_verified,False,http://www.w3.org/2001/XMLSchema#string
"email_verified: False","",https://localhost:44362/,https://localhost:44362/,"","",email_verified,False,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",email_verified,False,http://www.w3.org/2001/XMLSchema#string
"unique_name: admin","",https://localhost:44362/,https://localhost:44362/,"","",unique_name,admin,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",unique_name,admin,http://www.w3.org/2001/XMLSchema#string
"oi_prst: ProductManagement_App","",https://localhost:44362/,https://localhost:44362/,"","",oi_prst,ProductManagement_App,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",oi_prst,ProductManagement_App,http://www.w3.org/2001/XMLSchema#string
"client_id: ProductManagement_App","",https://localhost:44362/,https://localhost:44362/,"","",client_id,ProductManagement_App,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",client_id,ProductManagement_App,http://www.w3.org/2001/XMLSchema#string
"oi_tkn_id: 3a160c52-2049-e122-bc23-1deb6e8f6252","",https://localhost:44362/,https://localhost:44362/,"","",oi_tkn_id,3a160c52-2049-e122-bc23-1deb6e8f6252,http://www.w3.org/2001/XMLSchema#string,"",https://localhost:44362/,https://localhost:44362/,[],"",oi_tkn_id,3a160c52-2049-e122-bc23-1deb6e8f6252,http://www.w3.org/2001/XMLSchema#string
